t=2026-01-20T17:00:45+0530 lvl=info msg="open config file" path=C:\\Users\\shres\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-01-20T17:00:45+0530 lvl=info msg="open config file" path=D:\\ai-resume\\resume-matcher-main\\ngrok-tunnels.yml err=nil
t=2026-01-20T17:00:45+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-01-20T17:00:45+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-01-20T17:00:45+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-01-20T17:00:45+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-01-20T17:06:02+0530 lvl=info msg="join connections" obj=join id=e4d1212eede1 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51893
t=2026-01-20T17:06:02+0530 lvl=info msg="join connections" obj=join id=eaefe614c1ad l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51893
t=2026-01-20T17:06:02+0530 lvl=info msg="join connections" obj=join id=db3e19f3869b l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51893
t=2026-01-20T17:06:02+0530 lvl=info msg="join connections" obj=join id=1e9e283b7c35 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51893
t=2026-01-20T17:06:02+0530 lvl=info msg="join connections" obj=join id=3950e3a65b69 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51893
t=2026-01-20T17:06:02+0530 lvl=info msg="join connections" obj=join id=1021cfe2cbdc l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51893
t=2026-01-20T17:06:02+0530 lvl=info msg="join connections" obj=join id=9110ab56e8ba l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51893
t=2026-01-20T17:06:02+0530 lvl=info msg="join connections" obj=join id=3400fabe7a03 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51893
t=2026-01-20T17:06:02+0530 lvl=info msg="join connections" obj=join id=0403d7c44a85 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51893
t=2026-01-20T17:06:02+0530 lvl=info msg="join connections" obj=join id=e0fd52b2d3bf l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51893
t=2026-01-20T17:06:02+0530 lvl=info msg="join connections" obj=join id=3ec59dce4c75 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51893
t=2026-01-20T17:06:02+0530 lvl=info msg="join connections" obj=join id=15de11e892dc l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51893
t=2026-01-20T17:06:02+0530 lvl=info msg="join connections" obj=join id=ea2058205295 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51893
t=2026-01-20T17:06:02+0530 lvl=info msg="join connections" obj=join id=331702c7adea l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51893
